site,mean_wind,lat,long
2048,7.576342668462137,19.510254,-67.44339
2049,7.5531296387656965,19.537186,-67.443756
2050,7.5350740149170985,19.564133,-67.44409
2051,7.523580462323546,19.591057,-67.44446
2052,8.529139706130769,16.544601,-67.37714
2053,8.545259528649488,16.571579,-67.37747
2054,8.563637674,16.598557,-67.37781
2055,8.579920113,16.625526,-67.37814
2056,8.586245733265553,16.652527,-67.37848
2057,8.603109658763582,16.679504,-67.378815
2058,8.602416350062537,16.706467,-67.37915
2059,8.607863487,16.733482,-67.37952
2060,8.599691984531304,16.760445,-67.37982
2061,8.599376347,16.787415,-67.38019
2062,8.588193822711576,16.814407,-67.38052
2063,8.582716508793448,16.841393,-67.38086
2064,8.570078263262456,16.868362,-67.381195
2065,8.561225013593589,16.895348,-67.38153
2066,8.547607474,16.92231,-67.38187
2067,8.536858612509437,16.94931,-67.3822
2068,8.522976017702382,16.976288,-67.38254
2069,8.511345312383005,17.003258,-67.38287
2070,8.497914028126056,17.030228,-67.38324
2071,8.485087399542293,17.057228,-67.383575
2072,8.471185235478952,17.084198,-67.38391
2073,8.457740206274782,17.11116,-67.38425
2074,8.443434326,17.138138,-67.38458
2075,8.428653287369695,17.165123,-67.38492
2076,8.413328110704555,17.1921,-67.385254
2077,8.397824055,17.219086,-67.38562
2078,8.381976758216965,17.246048,-67.385925
2079,8.365587656898427,17.273026,-67.38629
2080,8.348639358375687,17.30001,-67.38663
2081,8.329954000710064,17.32698,-67.38696
2082,8.311261002531051,17.353958,-67.3873
2083,8.290578301340194,17.380936,-67.387634
2084,8.270181084342328,17.407913,-67.388
2085,8.247469136768489,17.434898,-67.388306
2086,8.224522425190871,17.461868,-67.38867
2087,8.198710475771595,17.488815,-67.38901
2088,8.172283396038111,17.515816,-67.38934
2089,8.144472178231402,17.542786,-67.38968
2090,8.113883667728647,17.569748,-67.390015
2091,8.080423344813854,17.59674,-67.39038
2092,8.039656143460245,17.623703,-67.39072
2093,7.996802923252908,17.650673,-67.39105
2094,7.943753850894318,17.677658,-67.39139
2095,7.889480089616522,17.704613,-67.39172
2096,7.820788315448451,17.731583,-67.39209
2097,7.752137569345652,17.75856,-67.392426
2098,7.667138698409204,17.78553,-67.39276
2099,7.577358491687313,17.812492,-67.3931
2100,7.477264357271089,17.83947,-67.39343
2101,7.357576817867735,17.866447,-67.3938
2102,7.244354989990607,17.893394,-67.394135
2103,7.1224744685880435,17.920372,-67.39447
2104,7.024916696959892,17.94735,-67.394806
2105,6.950106394539468,17.974312,-67.39514
2106,6.887815194344616,18.001266,-67.39551
2107,6.807289739205108,18.028244,-67.39584
2108,6.730213846730466,18.055206,-67.39618
2109,6.645106255601195,18.082176,-67.396515
2110,6.563035765578296,18.109138,-67.39685
2111,6.492415974873355,18.136124,-67.39722
2112,6.4369055180756005,18.163078,-67.39755
2113,6.393062360528864,18.190033,-67.39789
2114,6.365399710011326,18.217003,-67.398254
2115,6.355930623939502,18.243958,-67.39859
2116,6.3572229666485605,18.270927,-67.398926
2117,6.442063724712719,18.297897,-67.39926
2118,6.592765149236139,18.324852,-67.3996
2119,6.778060427583154,18.351807,-67.39996
2120,6.910206519468249,18.378784,-67.4003
2121,7.027716445,18.405731,-67.400635
2122,7.142425945,18.432678,-67.401
2123,7.279514421808299,18.459648,-67.40134
2124,7.376721511857864,18.48661,-67.40167
2125,7.456813545006575,18.513565,-67.40201
2126,7.491557520873862,18.540527,-67.402374
2127,7.519367230243172,18.567474,-67.40271
2128,7.5529201589934205,18.594437,-67.403046
2129,7.576738172689422,18.621399,-67.40338
2130,7.605247557540245,18.648354,-67.40375
2131,7.636756769676692,18.675293,-67.40408
2132,7.6596722007271065,18.702255,-67.40442
2133,7.694796974586917,18.72921,-67.404785
2134,7.715261773533849,18.75615,-67.40512
2135,7.745912413538823,18.783112,-67.40546
2136,7.761946200556079,18.810066,-67.40582
2137,7.782885514317196,18.83702,-67.40616
2138,7.791088297917161,18.863976,-67.406494
2139,7.802467103326061,18.890915,-67.40686
2140,7.8054128262859255,18.917877,-67.407196
2141,7.808407965161822,18.944832,-67.40753
2142,7.805833437754697,18.971764,-67.4079
2143,7.803404169434755,18.998718,-67.40823
2144,7.7983394672416635,19.025673,-67.40857
