,lat,long
148,17.455803,-67.869354
149,17.48278,-67.86978
150,17.509743,-67.87018
151,17.53672,-67.870575
152,17.563705,-67.871
153,17.590675,-67.8714
154,17.61763,-67.871796
155,17.64463,-67.87222
156,17.671585,-67.87262
157,17.698555,-67.87302
158,17.725533,-67.87344
159,17.752495,-67.87384
160,17.779472,-67.87427
161,17.806442,-67.874664
162,17.833397,-67.87506
163,17.860367,-67.87549
164,17.887321,-67.875885
165,17.914307,-67.87628
166,17.941269,-67.87671
167,17.968239,-67.877106
168,17.995186,-67.8775
169,18.022179,-67.87793
170,18.04914,-67.87833
171,18.076096,-67.87872
172,18.10308,-67.87915
173,18.130043,-67.87958
174,18.15699,-67.879974
175,18.18396,-67.88037
176,18.210922,-67.8808
177,18.237892,-67.881195
178,18.264854,-67.88159
179,18.291801,-67.88202
180,18.318764,-67.882416
181,18.345741,-67.88284
182,18.372696,-67.88324
183,18.399635,-67.88367
184,18.426605,-67.88406
185,18.453575,-67.88446
186,18.48053,-67.88489
187,18.507492,-67.885315
188,18.534431,-67.88571
189,18.561378,-67.88611
190,18.588364,-67.886536
191,18.61531,-67.88693
192,18.642258,-67.88736
193,18.669212,-67.88776
194,18.696167,-67.88818
195,18.72313,-67.88858
196,18.750076,-67.88901
197,18.777008,-67.889404
198,18.803986,-67.88983
199,18.830933,-67.89023
200,18.85788,-67.890656
201,18.884827,-67.89105
202,18.911781,-67.89148
203,18.93872,-67.89188
204,18.965683,-67.8923
205,18.992622,-67.8927
206,19.019554,-67.89313
207,19.046524,-67.893555
208,19.073456,-67.89395
209,19.100395,-67.89435
210,19.127357,-67.894775
211,19.15429,-67.8952
212,19.181221,-67.8956
213,19.208176,-67.89603
214,19.235115,-67.89642
215,19.262032,-67.89685
216,19.288986,-67.89728
217,19.315926,-67.897675
218,19.342857,-67.89807
219,19.36982,-67.8985
220,19.396736,-67.898926
221,19.423676,-67.89932
222,19.450607,-67.89975
223,19.477547,-67.90015
224,19.504478,-67.90057
225,19.531418,-67.901
226,19.558334,-67.9014
227,19.585281,-67.901825
228,16.53894,-67.82745
229,16.565933,-67.82788
230,16.592896,-67.82825
231,16.619888,-67.828674
232,16.646873,-67.82907
233,16.673851,-67.82947
234,16.700829,-67.829865
235,16.727821,-67.83026
236,16.754791,-67.83066
237,16.781776,-67.831055
238,16.808746,-67.83145
239,16.835732,-67.83185
240,16.862724,-67.832275
241,16.889687,-67.83264
242,16.916656,-67.83307
243,16.943657,-67.833466
244,16.970627,-67.83386
245,16.99759,-67.83426
246,17.024574,-67.834656
247,17.051552,-67.83505
248,17.078537,-67.83545
249,17.105515,-67.83588
250,17.132477,-67.83627
251,17.159462,-67.83667
252,17.186447,-67.83707
253,17.213417,-67.83746
254,17.240387,-67.83789
255,17.267365,-67.83826
256,17.294342,-67.838684
257,17.321312,-67.83908
258,17.34829,-67.83948
259,17.375252,-67.839874
260,17.402222,-67.84027
261,17.429214,-67.8407
262,17.456184,-67.841095
263,17.48317,-67.84149
264,17.510117,-67.84189
265,17.537117,-67.842285
266,17.564087,-67.84271
267,17.59105,-67.84311
268,17.61802,-67.843506
269,17.645012,-67.8439
270,17.671974,-67.8443
271,17.698929,-67.84473
272,17.725906,-67.84512
273,17.752884,-67.84552
274,17.779854,-67.84592
275,17.806816,-67.84631
276,17.833786,-67.84674
277,17.860756,-67.84714
278,17.887718,-67.847534
279,17.914688,-67.84796
280,17.941643,-67.84836
281,17.968628,-67.848755
282,17.995598,-67.84915
283,18.022552,-67.84955
284,18.04953,-67.849976
285,18.076477,-67.85037
286,18.103455,-67.85077
287,18.130417,-67.8512
288,18.157387,-67.85159
289,18.184341,-67.85199
290,18.211311,-67.85242
291,18.238266,-67.85281
292,18.265236,-67.85321
293,18.292183,-67.85364
294,18.319153,-67.854034
295,18.346123,-67.85443
296,18.373077,-67.85483
297,18.400032,-67.855255
298,18.426994,-67.85565
299,18.453964,-67.85605
300,18.480911,-67.856476
301,18.507866,-67.85687
302,18.534836,-67.85727
303,18.561768,-67.8577
304,18.588737,-67.85809
305,18.615692,-67.85849
306,18.642647,-67.85892
307,18.669601,-67.859314
308,18.696548,-67.85974
309,18.723495,-67.86014
310,18.750465,-67.860535
311,18.77742,-67.86096
312,18.804367,-67.86136
313,18.831314,-67.861755
314,18.858253,-67.86218
315,18.885223,-67.86258
316,18.91217,-67.862976
317,18.93911,-67.8634
318,18.966057,-67.8638
319,18.993011,-67.8642
320,19.01995,-67.864624
321,19.046906,-67.86502
322,19.073845,-67.86545
323,19.100784,-67.865845
324,19.127731,-67.86627
325,19.15467,-67.86667
326,19.181595,-67.867065
327,19.208565,-67.86749
328,19.235504,-67.86789
329,19.262436,-67.86832
330,19.289375,-67.86871
331,19.316322,-67.86914
332,19.343246,-67.86954
333,19.370193,-67.869934
334,19.397125,-67.87036
335,19.424057,-67.87079
336,19.451004,-67.871185
337,19.477928,-67.87158
338,19.504868,-67.87201
339,19.531792,-67.872406
340,19.558731,-67.87283
341,19.585663,-67.87323
342,16.539322,-67.79932
343,16.566322,-67.79971
344,16.593292,-67.80011
345,16.62027,-67.80051
346,16.647255,-67.8009
347,16.674225,-67.8013
348,16.701218,-67.8017
349,16.72821,-67.80209
350,16.75518,-67.80249
351,16.782143,-67.80289
352,16.809135,-67.80328
353,16.83612,-67.80368
354,16.86309,-67.80408
355,16.89006,-67.804474
356,16.917046,-67.80487
357,16.94403,-67.80527
358,16.971008,-67.805664
359,16.997978,-67.80606
360,17.024963,-67.80646
361,17.05194,-67.806854
362,17.078918,-67.80725
363,17.105896,-67.80765
364,17.132881,-67.808044
365,17.159851,-67.80844
366,17.186829,-67.80884
367,17.21379,-67.809235
368,17.240768,-67.80963
369,17.267754,-67.81003
370,17.294724,-67.810425
371,17.321693,-67.81082
372,17.348679,-67.81122
373,17.375664,-67.811615
374,17.40261,-67.81201
375,17.429596,-67.81241
376,17.456566,-67.812805
377,17.483543,-67.8132
378,17.51052,-67.8136
379,17.537498,-67.814026
380,17.56446,-67.81439
381,17.591438,-67.81482
382,17.618416,-67.815216
383,17.645386,-67.81561
384,17.672356,-67.81601
385,17.69931,-67.81641
386,17.726303,-67.8168
387,17.753258,-67.8172
388,17.780228,-67.8176
389,17.807198,-67.81799
390,17.834175,-67.81842
391,17.861137,-67.81879
392,17.888107,-67.819214
393,17.91507,-67.81961
394,17.942047,-67.82001
395,17.969017,-67.820404
396,17.99598,-67.8208
397,18.022934,-67.82123
398,18.04992,-67.821594
399,18.076866,-67.82202
400,18.103828,-67.82242
401,18.130798,-67.822815
402,18.157776,-67.82321
403,18.18473,-67.82361
404,18.211693,-67.824036
405,18.238647,-67.8244
406,18.265625,-67.82483
407,18.292587,-67.825226
408,18.319542,-67.82562
409,18.346512,-67.82602
410,18.373466,-67.826416
411,18.400421,-67.82684
412,18.427391,-67.82724
413,18.454338,-67.82764
414,18.481308,-67.82803
415,18.508263,-67.82843
416,18.53521,-67.82886
417,18.562164,-67.829254
418,18.589119,-67.82965
419,18.616081,-67.83005
420,18.643028,-67.830444
421,18.66999,-67.83087
422,18.696938,-67.83127
423,18.7239,-67.831665
424,18.750847,-67.83209
425,18.777794,-67.83249
426,18.80474,-67.832886
427,18.83171,-67.83328
428,18.858658,-67.83368
429,18.885605,-67.83411
430,18.912544,-67.8345
431,18.939499,-67.8349
432,18.966461,-67.83533
433,18.993393,-67.835724
434,19.020332,-67.83612
435,19.047295,-67.83652
436,19.074234,-67.836914
437,19.101181,-67.83734
438,19.12812,-67.83774
439,19.155075,-67.838135
440,19.182,-67.83856
441,19.208946,-67.83896
442,19.235886,-67.839355
443,19.26281,-67.83978
444,19.289764,-67.84018
445,19.316704,-67.840576
446,19.343636,-67.841
447,19.370567,-67.8414
448,19.397514,-67.8418
449,19.424446,-67.842224
450,19.451393,-67.84262
451,19.478317,-67.84302
452,19.505257,-67.843445
453,19.53218,-67.84384
454,19.559113,-67.84424
455,19.586052,-67.844666
456,16.539696,-67.77118
457,16.566704,-67.771576
458,16.593666,-67.77197
459,16.620644,-67.77234
460,16.647644,-67.772736
461,16.674606,-67.77313
462,16.701584,-67.77353
